# CSV-File created with merge-csv.com
# -----------------------------------------------------------

input_text,target_text
"realization to nervousness: After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern.","The growth rate of mixed-race individuals surpassed that of the white population after the First World War, leading to concerns about the ""half-caste menace"" undermining the White Australia ideal from within by 1930."
sadness to disappointment: The agricultural policy favoring grain production at the expense of industrial and cash crops intensified economic hardships in the province.,The province's economic difficulties were exacerbated by the agricultural policy that prioritized grain production over industrial and cash crops.
"admiration to approval: It gave the band their first real experience of international success, and was a hit on both sides of the Atlantic.","The band's first taste of international success came with this hit, which was popular on both sides of the Atlantic."
optimism to approval: He also gave a few early signs of a new and positive direction in central government.,He also gave a few early signs of a new and positive direction in central government.
sadness to disappointment: The war had shattered the prosperity of the antebellum city.,The war had shattered the prosperity of the antebellum city.
"admiration to approval: The memory of Napoleon in Poland is favorable, for his support for independence and opposition to Russia, his legal code, the abolition of serfdom, and the introduction of modern middle class bureaucracies.","The memory of Napoleon in Poland is favorable, for his support for independence and opposition to Russia, his legal code, the abolition of serfdom, and the introduction of modern middle class bureaucracies."
approval to realization: This increase in the importance of agriculture was attributable to food security needs of the population in the face of uncertainty during the first phases of transition and the collapse of the non-agricultural sectors of the economy in the early 1990s.,The rise in significance of agriculture was due to the need for food security during the uncertain initial stages of transition and the decline of non-agricultural industries in the early 1990s.
realization to disappointment: Agriculture and forestry have declined in importance over the decades.,Agriculture and forestry have declined in importance over the decades.
"optimism to approval: Currently, promotion from second lieutenant to first lieutenant is virtually guaranteed after two years of satisfactory service.","Currently, promotion from second lieutenant to first lieutenant is virtually guaranteed after two years of satisfactory service."
admiration to approval: It serves as a US presence that demonstrates resolve and compassion in humanitarian crisis.,"It acts as a representation of the US, showcasing determination and empathy during times of humanitarian emergencies."
admiration to approval: Things that once seemed static and unchanging become full of possibility and perfection.,Things that once seemed static and unchanging become full of possibility and perfection.
"admiration to approval: All of these elements struck a chord with the older readers, such as college-aged adults, and they successfully gained in a way not seen before.","All of these elements struck a chord with the older readers, such as college-aged adults, and they successfully gained in a way not seen before."
"admiration to curiosity: It was Kirby's artwork with its tension and psychedelia that made it perfect for the times—or was it Lee's bravado and melodrama, which was somehow insecure and brash at the same time?""","Was it Kirby's artwork, with its tension and psychedelia, or Lee's bravado and melodrama, which was both insecure and brash, that made it perfect for the times?"
"confusion to disappointment: The status of Austria as a great power, with the unifications of Germany and Italy was now severely questioned.","The status of Austria as a great power, with the unifications of Germany and Italy was now severely questioned."
"fear to nervousness: It received a 5% production cut in December, causing a panic.","It received a 5% production cut in December, causing a panic."
gratitude to approval: Pro wrestling was also instrumental in making pay-per-view a viable method of content delivery.,Pro wrestling was also instrumental in making pay-per-view a viable method of content delivery.
"approval to sadness: The more conclusive finding has been that Internet use has a negative effect on the physical health of adolescents, as time spent using the Internet replaces time doing physical activities.","Adolescents' physical health is negatively impacted by Internet use, as it replaces physical activity time."
"disgust to fear: At one of the very worst sites, around Sandakan in Borneo, only six of some 2,500 British and Australian prisoners survived.","Out of approximately 2,500 British and Australian prisoners, only six managed to survive at one of the most dreadful locations in Borneo, near Sandakan."
"admiration to love: Although the two displayed great respect and admiration for each other, their friendship was uneasy and had some qualities of a love-hate relationship.","Despite their mutual respect and admiration, their friendship was fraught with tension and had elements of a love-hate dynamic."
disappointment to disapproval: The negative aspect is the maintenance and short life problems caused by the commutator.,"The commutator causes maintenance and short life issues, which are negative aspects."
"approval to remorse: I may have violated some specific laws, but I am guilty of doing no wrong.","I may have violated some specific laws, but I am guilty of doing no wrong."
"approval to disappointment: However, while Egyptian medicine had some effective practices, it was not without its ineffective and sometimes harmful practices.","Despite some effective practices, Egyptian medicine also had ineffective and occasionally harmful practices."
joy to admiration: The Rodeo Parade is a popular event as most schools give two rodeo days off instead of Presidents Day.,The Rodeo Parade is a well-liked occasion since many schools observe two days off for the rodeo instead of Presidents Day.
optimism to approval: believe it is reasonable to suggest that lasers will play a major role in air defence starting in the next ten years.,It is a reasonable assumption that lasers will have a significant impact on air defence within the next decade.
"admiration to approval: This was reinforced by an appreciation, following the trend in sociological thought, of the manner in which the individual is affected by and contributes to the overall social context.",The recognition of how the individual is influenced by and contributes to the broader social context was strengthened by an appreciation that followed the sociological thought trend.
"caring to nervousness: Aonuma felt confident this was the only way to proceed, but worried about consumers who had been anticipating a GameCube release.","Aonuma felt confident this was the only way to proceed, but worried about consumers who had been anticipating a GameCube release."
disappointment to disapproval: Once common but no longer commonly used because of its low accuracy and resolution is to screen print epoxy ink.,Once common but no longer commonly used because of its low accuracy and resolution is to screen print epoxy ink.
"sadness to disappointment: A series of famines and plagues, including the Great Famine of 1315–1317 and the Black Death, reduced the population to around half of what it was before the calamities.","A series of famines and plagues, including the Great Famine of 1315–1317 and the Black Death, reduced the population to around half of what it was before the calamities."
"excitement to admiration: Nine months after their Community Shield triumph, Arsenal appeared in the FA Cup final for the second year in a row, thrashing Aston Villa 4–0 in the final and becoming the most successful club in the tournament's history with 12 titles.","Arsenal won their second consecutive FA Cup final, defeating Aston Villa 4-0, and becoming the most successful club in the tournament's history with 12 titles, nine months after their Community Shield victory."
"disappointment to disapproval: Scientific works of Aristotle, Copernicus, and Newton still exhibit great value, but since the science in them has largely become outdated, they no longer serve for scientific instruction.","Although the scientific works of Aristotle, Copernicus, and Newton are still valuable, they are no longer useful for scientific instruction due to their outdated content."
"sadness to disappointment: This has led to the overgrazing and browsing of many plants of the Appalachian forests, as well as destruction of agricultural crops.","This has led to the overgrazing and browsing of many plants of the Appalachian forests, as well as destruction of agricultural crops."
"sadness to disappointment: An additional natural disaster was the Rhine rift earthquake of 1356, one of Europe's worst which made ruins of Basel.","An additional natural disaster was the Rhine rift earthquake of 1356, one of Europe's worst which made ruins of Basel."
"admiration to approval: As it has on every aspect of Charleston culture, the Gullah community has had a tremendous influence on music in Charleston, especially when it comes to the early development of jazz music.","The Gullah community has had a significant impact on music in Charleston, including the early development of jazz music."
sadness to disappointment: This represented the worst defeat suffered by the Japanese Army to that date.,This represented the worst defeat suffered by the Japanese Army to that date.
"sadness to disappointment: According to protesters, load shedding was depriving the cities of electricity 20–22 hours a day, causing businesses to go bust and making living extremely hard.","The cities were being deprived of electricity for 20-22 hours a day due to load shedding, causing businesses to fail and making life extremely difficult, as per the protesters."
"sadness to disappointment: As housing prices declined, major global financial institutions that had borrowed and invested heavily in subprime MBS reported significant losses.","As housing prices declined, major global financial institutions that had borrowed and invested heavily in subprime MBS reported significant losses."
"surprise to sadness: As prosperity began to return in the 1980s, the city was stunned by the Wah Mee massacre in 1983, when 13 people were killed in an illegal gambling club in the International District, Seattle's Chinatown.","As prosperity began to return in the 1980s, the city was stunned by the Wah Mee massacre in 1983, when 13 people were killed in an illegal gambling club in the International District, Seattle's Chinatown."
"disappointment to disapproval: Attempts by landowners to forcibly reduce wages, such as the English 1351 Statute of Laborers, were doomed to fail.","Landowners' efforts to lower wages through coercion, like the 1351 Statute of Laborers in England, were bound to be unsuccessful."
"confusion to disapproval: However, even using these improved methods, the total number of bacterial species is not known and cannot even be estimated with any certainty.","However, even using these improved methods, the total number of bacterial species is not known and cannot even be estimated with any certainty."
"admiration to approval: Its southerly, low lying and sheltered location ensures it is among the warmer, sunnier cities in the UK.","Its southerly, low lying and sheltered location ensures it is among the warmer, sunnier cities in the UK."
realization to disappointment: Elizabeth's popularity sank to a low point in the 1990s.,Elizabeth's popularity sank to a low point in the 1990s.
admiration to disappointment: She was nominated for Album of the Year but the award was won by Beck for his Morning Phase album.,"Despite being nominated for Album of the Year, she lost to Beck's Morning Phase album."
"confusion to disapproval: This work has motivated a large number of studies, but is also controversial.","This work has motivated a large number of studies, but is also controversial."
"excitement to joy: Over 400,000 visitors came to London for the celebrations.","More than 400,000 individuals visited London for the festivities."
"admiration to approval: More significantly, its military performance proved far better than during the War of the Austrian Succession and seemed to vindicate Maria Theresa's administrative and military reforms.","More significantly, its military performance proved far better than during the War of the Austrian Succession and seemed to vindicate Maria Theresa's administrative and military reforms."
admiration to approval: Paradise Garage in New York City was still a top club.,The Paradise Garage remained a popular club in New York City.
"approval to caring: Infections can be prevented by antiseptic measures such as sterilizing the skin prior to piercing it with the needle of a syringe, and by proper care of indwelling catheters.","Antiseptic measures, such as sterilizing the skin before piercing it with a needle, and proper care of indwelling catheters can prevent infections."
"admiration to approval: In 2011, the club became European champions again and won five trophies.","In 2011, the club became European champions again and won five trophies."
"joy to admiration: That same year, it also became the first football club ever to win six out of six competitions in a single year, thus completing the sextuple, comprising the aforementioned treble and the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup.","In that year, the football club achieved a historic feat by winning all six competitions, including the treble, Spanish Super Cup, UEFA Super Cup, and FIFA Club World Cup."
"excitement to joy: On 6 June, Barcelona won the UEFA Champions League final with a 3–1 win against Juventus, which completed the treble, the club's second in 6 years.","On 6 June, Barcelona won the UEFA Champions League final with a 3–1 win against Juventus, which completed the treble, the club's second in 6 years."
excitement to joy: Barcelona accomplished two new records in Spanish football in 2010 as they retained the La Liga trophy with 99 points and won the Spanish Super Cup trophy for a ninth time.,"In 2010, Barcelona achieved two new milestones in Spanish football by winning the La Liga trophy with 99 points and securing their ninth Spanish Super Cup trophy."
"disappointment to disapproval: Despite development efforts, his combative style during his five terms in office was not well received by many suburban residents.","Despite attempts at progress, his confrontational approach throughout his five terms in office was not welcomed by numerous suburban inhabitants."
excitement to approval: The enthusiasm surrounding Bell's public displays laid the groundwork for universal acceptance of the revolutionary device.,The enthusiasm surrounding Bell's public displays laid the groundwork for universal acceptance of the revolutionary device.
pride to admiration: Bermuda has developed a proud Rugby Union community.,Bermuda has developed a proud Rugby Union community.
approval to realization: The number of free people of color rose markedly in the first couple of decades after the Revolution.,The population of free people of color significantly increased during the initial years following the Revolution.
gratitude to approval: Boston's literary culture continues today thanks to the city's many universities and the Boston Book Festival.,The presence of numerous universities and the Boston Book Festival has helped sustain Boston's literary scene.
"disgust to fear: I damn-near cried, it made me feel so terrible.""","I damn-near cried, it made me feel so terrible."""
approval to realization: Britain's fears of war with Germany were realised in 1914 with the outbreak of the First World War.,Britain's fears of war with Germany were realised in 1914 with the outbreak of the First World War.
"sadness to disappointment: In 1767 political activity caused exploitation of the East India Company causing the plundering of the local economy, almost bringing the company into bankruptcy.","In 1767 political activity caused exploitation of the East India Company causing the plundering of the local economy, almost bringing the company into bankruptcy."
disappointment to disapproval: British night air defences were in a poor state.,The state of British night air defences was inadequate.
admiration to approval: Another important development was the popularization of science among an increasingly literate population.,Another important development was the popularization of science among an increasingly literate population.
"disgust to nervousness: Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors.","Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors."
"caring to nervousness: Second, Burke worried about the uncertainty surrounding whether Britain would win a conflict in America.","Second, Burke worried about the uncertainty surrounding whether Britain would win a conflict in America."
"admiration to remorse: Bush himself was receptive to the apology, saying, ""I appreciate that.","Bush expressed his gratitude for the apology, stating, ""I appreciate that."""
"approval to realization: But after emancipation, a sense of a unified French Jewry emerged, especially when France was wracked by the Dreyfus affair in the 1890s.","But after emancipation, a sense of a unified French Jewry emerged, especially when France was wracked by the Dreyfus affair in the 1890s."
"admiration to approval: It worked particularly well on silk, satin and other luxury textiles.","It worked particularly well on silk, satin and other luxury textiles."
"admiration to disappointment: Even with Nadia's perfect scores, the Romanians lost the gold medal to the Soviet Union.","Even with Nadia's perfect scores, the Romanians lost the gold medal to the Soviet Union."
"caring to nervousness: Some ethnic groups are concerned about the potential political and economic effects, as federal assistance to historically underserved groups has depended on Census data.","Certain ethnic communities express worry over the possible political and financial consequences, given that federal aid to historically marginalized groups relies on Census information."
sadness to disappointment: Madonna responded by releasing a statement saying she was saddened that Banda had chosen to act negatively about her endeavors.,Madonna issued a statement expressing her disappointment with Banda's negative attitude towards her efforts.
sadness to disappointment: UN morale hit rock bottom when commanding General Walton Walker of the U.S. Eighth Army was killed on 23 December 1950 in an automobile accident.,"The UN's morale plummeted after the death of General Walton Walker of the U.S. Eighth Army in a car crash on December 23, 1950."
caring to nervousness: Raids from the nomadic Berber people of the desert were a constant concern of those living on the edge of the desert.,The constant threat of raids from the nomadic Berber people of the desert worried those who lived on the desert's outskirts.
"realization to surprise: The Ulm Maneuver completely surprised General Mack, who belatedly understood that his army had been cut off.","The Ulm Maneuver completely surprised General Mack, who belatedly understood that his army had been cut off."
"realization to surprise: More than 13,000 civilians had been killed, and almost 20,000 injured, in September and October alone, but the death toll was much less than expected.","More than 13,000 civilians had been killed, and almost 20,000 injured, in September and October alone, but the death toll was much less than expected."
"disappointment to disapproval: When the U.S. government proposed the addition of the category of ""bi-racial"" or ""multiracial"" in 1988, the response from the general public was mostly negative.","When the U.S. government proposed the addition of the category of ""bi-racial"" or ""multiracial"" in 1988, the response from the general public was mostly negative."
"approval to realization: By the early years of the 21st century, western clothing styles had, to some extent, become international styles.","By the early years of the 21st century, western clothing styles had, to some extent, become international styles."
"admiration to approval: This effort achieved a measure of success, with increased agricultural production and investment in industrialization.","The endeavor yielded some success, as agricultural production and industrial investment saw an increase."
"disappointment to embarrassment: By the late 1960s, many of the resort's once great hotels were suffering from embarrassing vacancy rates.","By the late 1960s, many of the resort's once great hotels were suffering from embarrassing vacancy rates."
"sadness to disappointment: The conflict placed enormous strain on the military, financial and manpower resources of Britain.","The conflict placed enormous strain on the military, financial and manpower resources of Britain."
joy to approval: Carthage was Palermo’s major trading partner under the Phoenicians and the city enjoyed a prolonged peace during this period.,"During the Phoenician era, Carthage was the primary trading ally of Palermo, leading to a long period of peace in the city."
"confusion to curiosity: Why is not all nature in confusion, instead of the species being, as we see them, well defined?""","Why isn't nature chaotic, with species being clearly defined as we observe them?"
"optimism to desire: The proclamation recognized Chicago as the original home of house music and that the music's original creators ""were inspired by the love of their city, with the dream that someday their music would spread a message of peace and unity throughout the world"".","The proclamation recognized Chicago as the original home of house music and that the music's original creators ""were inspired by the love of their city, with the dream that someday their music would spread a message of peace and unity throughout the world""."
sadness to disappointment: China also began suffering from mounting overpopulation during this period.,"During this time, China also experienced a growing problem of overpopulation."
"sadness to disappointment: Chopin's public popularity as a virtuoso began to wane, as did the number of his pupils, and this, together with the political strife and instability of the time, caused him to struggle financially.","Chopin's public popularity as a virtuoso began to wane, as did the number of his pupils, and this, together with the political strife and instability of the time, caused him to struggle financially."
sadness to disappointment: It was marred by terrorism and sabotage resulting in 600 deaths.,"Terrorism and sabotage caused 600 fatalities, tarnishing its image."
sadness to disappointment: The political alliance of the triumvirate was crumbling.,The political alliance of the triumvirate was crumbling.
"joy to admiration: Hampstead Heath incorporates Kenwood House, the former stately home and a popular location in the summer months where classical musical concerts are held by the lake, attracting thousands of people every weekend to enjoy the music, scenery and fireworks.","Kenwood House, a former stately home, is part of Hampstead Heath and is a well-liked spot during the summer months for classical music concerts by the lake, drawing in large crowds every weekend to appreciate the music, surroundings, and fireworks."
joy to realization: Coffeehouses represent a turning point in history during which people discovered that they could have enjoyable social lives within their communities.,Coffeehouses marked a significant moment in history when individuals realized they could engage in pleasurable social interactions within their localities.
admiration to approval: Collegiate athletics are a popular draw in the state.,Collegiate athletics are a popular draw in the state.
"approval to realization: In the latter half of the 20th century, popular culture won greater acceptance, and the lines between high and low culture began to blur.","In the latter half of the 20th century, popular culture won greater acceptance, and the lines between high and low culture began to blur."
admiration to approval: The advantages of coordination are so great that many people ignore whether DST is in effect by altering their nominal work schedules to coordinate with television broadcasts or daylight.,The benefits of coordination are significant enough for individuals to disregard DST and adjust their work schedules to align with TV broadcasts or daylight.
"admiration to approval: As their love and knowledge of God grows and is sanctified by faith and experience, the image of God within man becomes ever more bright and clear.","The more one's faith and experience sanctify their love and knowledge of God, the clearer and brighter the image of God within them becomes."
admiration to approval: His later direct intervention in Church affairs proved a political masterstroke.,His subsequent involvement in Church matters proved to be a shrewd political move.
"annoyance to disappointment: Fraud is a problem in many fields, but is notoriously prevalent in the construction field.","The construction field is known for its high incidence of fraud, although it is a problem in many other areas as well."
"approval to desire: The ultimate goal is human flourishing; making life better for all humans, and as the most conscious species, also promoting concern for the welfare of other sentient beings and the planet as a whole.","The ultimate objective is to achieve human flourishing, which involves improving the lives of all humans and promoting awareness of the well-being of other sentient beings and the planet as a whole."
"optimism to joy: The focus is on doing good and living well in the here and now, and leaving the world a better place for those who come after.","The emphasis is on making a positive impact and enjoying life presently, while also improving the world for future generations."
sadness to disappointment: Cyprus suffers from a chronic shortage of water.,There is a persistent lack of water in Cyprus.
"curiosity to surprise: He says, ""What can be more curious than that the hand of a man, formed for grasping, that of a mole for digging, the leg of the horse, the paddle of the porpoise, and the wing of the bat, should all be constructed on the same pattern, and should include the same bones, in the same relative positions?""","He wonders how it is possible that the hand of a man, the mole's digging hand, the horse's leg, the porpoise's paddle, and the bat's wing are all built on the same pattern and have the same bones in the same positions."
approval to caring: Hydroelectric development in most rivers has been a serious concern for local conservationists during the last decades.,Local conservationists have been seriously concerned about hydroelectric development in most rivers over the past few decades.
sadness to disappointment: These farming practices led to deforestation and caused extensive environmental damage.,The implementation of these agricultural methods resulted in the depletion of forests and inflicted significant harm on the environment.
sadness to disappointment: It was one of the worst incidents of civil unrest in American history.,It was one of the worst incidents of civil unrest in American history.
"admiration to approval: Demographically, it was the most diverse city in Poland, with significant numbers of foreign-born inhabitants.","The city had a diverse demographic makeup, with a considerable population of foreign-born residents."
"admiration to approval: Despite its tropical wet and dry climate, extensive irrigation makes it a rich agricultural region.","The region's abundant irrigation compensates for its tropical wet and dry climate, making it a prosperous agricultural area."
admiration to approval: The buildings and big squares of the Pombaline City Centre still remain as one of Lisbon's tourist attractions.,The buildings and big squares of the Pombaline City Centre still remain as one of Lisbon's tourist attractions.
sadness to disappointment: Detroit's protracted decline has resulted in severe urban decay and thousands of empty buildings around the city.,Detroit's protracted decline has resulted in severe urban decay and thousands of empty buildings around the city.
approval to caring: Dietary deficiencies in developing countries can be combated by promoting better eating practices.,Encouraging improved eating habits can help address nutritional deficiencies in developing nations.
admiration to approval: It was a valuable blunder ...,The mistake proved to be beneficial.
"joy to admiration: From a number of accounts, singing was apparently one of Dominic's great delights.","From a number of accounts, singing was apparently one of Dominic's great delights."
"admiration to approval: It accommodates some of the world's largest cruise ships and operations, and is the busiest port in both passenger traffic and cruise lines.","It accommodates some of the world's largest cruise ships and operations, and is the busiest port in both passenger traffic and cruise lines."
"amusement to admiration: They were all incredibly funny ... and I saw myself in them ... my girlishness, my knowingness and my innocence.""","They all had a great sense of humor, and I could relate to them in terms of my youthful innocence and worldly knowledge."
"disappointment to disapproval: However, Madonna's film career has been largely received negatively by the film critic community.",The film critic community has generally had a negative reception towards Madonna's film career.
"approval to realization: During the ensuing 15 years, many countercultural and New Left enterprises sprang up and developed large constituencies within the city.","During the ensuing 15 years, many countercultural and New Left enterprises sprang up and developed large constituencies within the city."
admiration to approval: I'm all for exposing children to wonderful cultural experiences.,I fully support introducing children to enriching cultural experiences.
sadness to disappointment: Compounding Armenia's problems was a devastating earthquake in 1988 with a moment magnitude of 7.2.,The earthquake in 1988 with a moment magnitude of 7.2 worsened Armenia's problems.
"sadness to disappointment: The rebellion took six months to suppress, with heavy loss of life on both sides.","It took half a year to quell the uprising, resulting in significant casualties on both factions."
"admiration to approval: These states competed with each other in the arts, architecture, aesthetics, and trade, resulting in tremendous development.","The arts, architecture, aesthetics, and trade were all areas of competition among these states, leading to significant progress."
"sadness to disappointment: In 2007, however, the housing market crashed causing lots of foreclosures on houses.","In 2007, however, the housing market crashed causing lots of foreclosures on houses."
"sadness to disappointment: In 2012, Forbes magazine named Miami the most miserable city in the United States because of a crippling housing crisis that has cost multitudes of residents their homes and jobs.","In 2012, Forbes magazine named Miami the most miserable city in the United States because of a crippling housing crisis that has cost multitudes of residents their homes and jobs."
"admiration to surprise: In 1961, when To Kill a Mockingbird was in its 41st week on the bestseller list, it was awarded the Pulitzer Prize, stunning Lee.","Lee was shocked when To Kill a Mockingbird won the Pulitzer Prize in 1961, after being on the bestseller list for 41 weeks."
disappointment to disapproval: A negative outcome of this stereotype is that Asians have been portrayed as having poor leadership and interpersonal skills.,"Asians have been depicted as lacking in leadership and interpersonal abilities, which is a negative consequence of this stereotype."
"sadness to embarrassment: It was also described as a ""sadistic musical bake-off"", and ""a romp in humiliation"".","It was referred to as a ""cruel musical competition"" and ""a humiliating escapade""."
"disappointment to disapproval: However, the education infrastructure is inadequate to meet current needs.",The current education infrastructure is insufficient to meet the demands.
admiration to approval: Education in Israel is highly valued in the national culture with its historical values dating back to Ancient Israel and was viewed as one fundamental blocks of ancient Israelite life.,"The significance of education in Israel is deeply ingrained in the national culture, with roots tracing back to Ancient Israel, where it was considered a crucial aspect of daily life."
"admiration to approval: The Red Sea has serene waters, coloured coral reefs, rare fish and beautiful mountains.","The waters of the Red Sea are calm, with vibrant coral reefs, unique fish, and stunning mountains."
"sadness to disappointment: A rapidly growing population, limited arable land, and dependence on the Nile all continue to overtax resources and stress the economy.","A rapidly growing population, limited arable land, and dependence on the Nile all continue to overtax resources and stress the economy."
"admiration to approval: Indeed, the Egyptians were the first culture to develop literature as we know it today, that is, the book.","Indeed, the Egyptians were the first culture to develop literature as we know it today, that is, the book."
"admiration to surprise: She has an air of authority and reflectiveness astonishing in an infant.""",The infant exudes an unexpected sense of authority and contemplation.
confusion to disapproval: Scientific discourse has drifted to other meanings and there is no consensus on a definition.,Scientific discourse has drifted to other meanings and there is no consensus on a definition.
admiration to approval: The advancements made a great contribution to the quality of life.,The progress greatly improved the standard of living.
"admiration to approval: England is quite a successful nation at the UEFA European Football Championship, having finished in third place in 1968 and reached the semi-final in 1996.","In the UEFA European Football Championship, England has achieved considerable success, securing third place in 1968 and making it to the semi-finals in 1996."
"approval to disappointment: Environmental sustainability has become a mainstream issue, with profound effect on the architectural profession.",The architectural profession has been significantly impacted by the widespread concern for environmental sustainability.
"caring to nervousness: Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming.","The destruction of the forest is worrying environmentalists due to the potential loss of biodiversity and the release of carbon from the vegetation, which could contribute to global warming."
disappointment to disapproval: These actions made him unpopular among the local peasants.,These actions made him unpopular among the local peasants.
"disgust to disappointment: According to Human Rights Watch, the government's human rights record is considered among the worst in the world.","The government's human rights record is regarded as one of the poorest in the world, as per Human Rights Watch."
"admiration to approval: With a ""grittier"" and ""rawer"" sound than most glam metal, it produced three top 10 hits, including the number one ""Sweet Child O' Mine"".","It had a rougher and more rugged sound compared to typical glam metal, resulting in three top 10 hits, including the chart-topping ""Sweet Child O' Mine""."
"admiration to approval: Even as the Western Roman empire collapsed, literate men acknowledged that Virgil was a master poet.","Even as the Western Roman empire collapsed, literate men acknowledged that Virgil was a master poet."
optimism to approval: This can be achieved by ensuring that different representations can be transformed into each other efficiently.,This can be achieved by ensuring that different representations can be transformed into each other efficiently.
"sadness to disappointment: Even with the five largest cities in Sichuan suffering only minor damage from the quake, some estimates of the economic loss run higher than US$75 billion, making the earthquake one of the costliest natural disasters in Chinese history.","Despite the minimal damage inflicted on the five biggest cities in Sichuan by the earthquake, certain projections suggest that the economic loss could exceed US$75 billion, rendering it one of the most expensive natural disasters in Chinese history."
"sadness to remorse: The Sun ran a front-page apology on 12 December 1988, under the banner headline ""SORRY, ELTON"".","On December 12, 1988, The Sun issued an apology on its front page with the headline ""SORRY, ELTON""."
"excitement to joy: The relay is a left-over from Yugoslav times, when young people made a similar yearly trek on foot through Yugoslavia that ended in Belgrade with a massive celebration.","The relay is a left-over from Yugoslav times, when young people made a similar yearly trek on foot through Yugoslavia that ended in Belgrade with a massive celebration."
"gratitude to approval: These countries score high on the Ease of Doing Business Index, due to good and often simple regulations, and have rule of law firmly established.","These countries score high on the Ease of Doing Business Index, due to good and often simple regulations, and have rule of law firmly established."
"admiration to approval: Other factors being equal, these are the best witnesses.","All things being equal, these are the most reliable witnesses."
"realization to disappointment: Farming had been a traditional occupation for centuries, although it became less dominant in the 20th century with the advent of tourism.","Agriculture had been a customary profession for ages, but it lost its prominence in the 20th century due to the emergence of tourism."
"approval to realization: Additional, recent years have seen a surge in popularity of MDMA; between 2010 and 2011, the use of MDMA increased from 1.4% to 2.3% among high school seniors.","In recent years, there has been a significant increase in the use of MDMA, with high school seniors reporting an increase from 1.4% to 2.3% between 2010 and 2011."
